Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Australia,2000,100,100,,,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.912427733,21697.70848,3,7741220,-25.274398,133.775136
Australia,2001,100,100,,,8.37,194.33,0,17.4,8.218014,68338.28,5.91,345640,3.870762,2.038300732,19527.32358,3,7741220,-25.274398,133.775136
Australia,2002,100,100,,,8.74,197.29,0,17.35,8.0833025,68892.78,5.89,353369.9951,3.9314504,4.014526654,20117.78889,3,7741220,-25.274398,133.775136
Australia,2003,100,100,,,7.15,195.13,0,18.5,8.659832,69082.79,5.78,352579.9866,4.014969,3.110325109,23492.40517,3,7741220,-25.274398,133.775136
Australia,2004,100,100,,,6.68,203.66,0,19.41,8.701304,70486.32,5.65,365809.9976,4.0365605,4.205446887,30513.94174,3,7741220,-25.274398,133.775136
Australia,2005,100,100,,,6.71,195.95,0,19.75,9.156236,69917.164,5.52,370089.9963,4.3135533,3.160338325,34080.9999,3,7741220,-25.274398,133.775136
Australia,2006,100,100,,,6.85,198.72,0,21.19,9.63576,71863.76,5.58,375489.9902,4.233413,2.726893446,36117.48798,3,7741220,-25.274398,133.775136
Australia,2007,100,100,,,6.95,208.59,0,20.93,9.119031,72304.695,5.52,385750,3.9767227,3.768487516,41001.14298,3,7741220,-25.274398,133.775136
Australia,2008,100,100,,,6.79,211.06,0,18.49,8.05489,72089.34,5.53,388940.0024,3.6813264,3.577014878,49654.9106,3,7741220,-25.274398,133.775136
Australia,2009,100,100,,,7.15,216.42,0,18.32,7.804379,69689.84,5.43,395290.0085,3.9202662,1.86683207,42783.32257,3,7741220,-25.274398,133.775136
Australia,2010,100,100,,,8.16,212.5,0,21.13,9.044215,68523.875,5.33,387540.0085,4.3128047,2.172337091,52087.97229,3,7741220,-25.274398,133.775136
Australia,2011,100,100,,,8.32,213.56,0,27.33,11.3454275,69714.19,5.23,386380.0049,5.698981,2.469746294,62574.1457,3,7741220,-25.274398,133.775136
Australia,2012,100,100,,,8.29,206.75,0,26.63,11.410575,67583.03,4.98,386970.0012,5.700209,3.917362463,68027.84171,3,7741220,-25.274398,133.775136
Australia,2013,100,100,,,9.21,195.78,0,34.2,14.870858,67307.04,4.93,380279.9988,6.525869,2.600211881,68156.62792,3,7741220,-25.274398,133.775136
Australia,2014,100,100,,,9.32,205.46,0,36.15,14.96213,66744.195,4.78,371630.0049,5.979823,2.562931521,62511.69059,3,7741220,-25.274398,133.775136
Australia,2015,100,100,,,9.31,197.72,0,33.12,14.3476,67234.93,4.67,377799.9878,6.290021,2.172204753,56707.02208,3,7741220,-25.274398,133.775136
Australia,2016,100,100,,,9.42,207.66,0,38.41,15.609379,66407.09,4.54,384989.9902,7.1891756,2.741643069,49881.76371,3,7741220,-25.274398,133.775136
Australia,2017,100,100,,,9.69,209.14,0,40.77,16.313873,65146.316,4.49,389160.0037,6.750127,2.295926947,53934.25018,3,7741220,-25.274398,133.775136
Australia,2018,100,100,,,9.67,207.45,0,42.93,17.145937,65072.668,4.39,387070.0073,8.300061,2.87097248,57180.7794,3,7741220,-25.274398,133.775136
Australia,2019,100,100,,,10.13,196.45,0,53.41,21.37597,66263.54,4.3,386529.9988,8.880722,2.113149425,54875.28596,3,7741220,-25.274398,133.775136
Australia,2020,100,100,,,,186.92,0,63.99,25.503168,61826.21,,,10.789811,-0.003836559,51692.84275,3,7741220,-25.274398,133.775136